neighborhood,ucrDescription,number
VENTURA VILLAGE,Larceny,327.0
VENTURA VILLAGE,Rape,34.0
VENTURA VILLAGE,Robbery,90.0
VICTORY,Aggravated Assault,18.0
VICTORY,Arson,2.0
VICTORY,Auto Theft,55.0
VICTORY,Burglary,77.0
VICTORY,Homicide,0.0
VICTORY,Larceny,121.0
VICTORY,Rape,5.0
VICTORY,Robbery,14.0
WAITE PARK,Aggravated Assault,10.0
WAITE PARK,Arson,0.0
WAITE PARK,Auto Theft,30.0
WAITE PARK,Burglary,81.0
WAITE PARK,Homicide,0.0
WAITE PARK,Larceny,95.0
WAITE PARK,Rape,5.0
WAITE PARK,Robbery,4.0
WEBBER - CAMDEN,Aggravated Assault,117.0
WEBBER - CAMDEN,Arson,6.0
WEBBER - CAMDEN,Auto Theft,81.0
WEBBER - CAMDEN,Burglary,101.0
WEBBER - CAMDEN,Homicide,0.0
WEBBER - CAMDEN,Larceny,189.0
WEBBER - CAMDEN,Rape,11.0
WEBBER - CAMDEN,Robbery,43.0
WENONAH,Aggravated Assault,38.0
WENONAH,Arson,2.0
WENONAH,Auto Theft,29.0
WENONAH,Burglary,63.0
WENONAH,Homicide,2.0
WENONAH,Larceny,86.0
WENONAH,Rape,9.0
WENONAH,Robbery,12.0
WEST CALHOUN,Aggravated Assault,5.0
WEST CALHOUN,Arson,0.0
WEST CALHOUN,Auto Theft,14.0
WEST CALHOUN,Burglary,12.0
WEST CALHOUN,Homicide,0.0
WEST CALHOUN,Larceny,139.0
WEST CALHOUN,Rape,1.0
WEST CALHOUN,Robbery,4.0
WHITTIER,Aggravated Assault,139.0
WHITTIER,Arson,3.0
WHITTIER,Auto Theft,188.0
WHITTIER,Burglary,205.0
WHITTIER,Homicide,1.0
WHITTIER,Larceny,1084.0
WHITTIER,Rape,44.0
WHITTIER,Robbery,106.0
WILLARD - HAY,Aggravated Assault,187.0
WILLARD - HAY,Arson,8.0
WILLARD - HAY,Auto Theft,141.0
WILLARD - HAY,Burglary,121.0
WILLARD - HAY,Homicide,2.0
WILLARD - HAY,Larceny,264.0
WILLARD - HAY,Rape,29.0
WILLARD - HAY,Robbery,58.0
WINDOM,Aggravated Assault,22.0
WINDOM,Arson,1.0
WINDOM,Auto Theft,34.0
WINDOM,Burglary,58.0
WINDOM,Homicide,1.0
WINDOM,Larceny,177.0
WINDOM,Rape,5.0
WINDOM,Robbery,11.0
WINDOM PARK,Aggravated Assault,20.0
WINDOM PARK,Arson,2.0
WINDOM PARK,Auto Theft,39.0
WINDOM PARK,Burglary,60.0
WINDOM PARK,Homicide,1.0
WINDOM PARK,Larceny,145.0
WINDOM PARK,Rape,9.0
WINDOM PARK,Robbery,15.0
Z_** NOT ASSIGNED **,Aggravated Assault,18.0
Z_** NOT ASSIGNED **,Arson,1.0
Z_** NOT ASSIGNED **,Auto Theft,15.0
Z_** NOT ASSIGNED **,Burglary,15.0
Z_** NOT ASSIGNED **,Homicide,0.0
Z_** NOT ASSIGNED **,Larceny,109.0
Z_** NOT ASSIGNED **,Rape,25.0
Z_** NOT ASSIGNED **,Robbery,12.0
